step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
64,seq0,0,A,17,17,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.825,0.9047619047619048,0.5094339622641509,0,4300,430
65,seq0,1,B,17,17,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.725,0.7391304347826086,0.40350877192982454,0,4320,432
66,seq0,2,C,17,17,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.5384615384615384,0.3114754098360656,0,4330,433
67,seq0,3,D,17,17,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.875,0.8604651162790697,0.40350877192982454,0,4340,434
68,seq0,0,A,18,18,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.825,0.9047619047619048,0.5384615384615384,0,4340,434
69,seq0,1,B,18,18,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.725,0.7777777777777778,0.3793103448275862,0,4350,435
70,seq0,2,C,18,18,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.625,0.6,0.3559322033898305,0,4350,435
71,seq0,3,D,18,18,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.875,0.8604651162790697,0.40350877192982454,0,4350,435
72,seq0,0,A,19,19,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.85,0.9047619047619048,0.5384615384615384,0,4350,435
73,seq0,1,B,19,19,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.725,0.7391304347826086,0.42857142857142855,0,4350,435
